step,train_loss,learning_rate
0,3.0566,1.8e-05
1,2.6377,3.4000000000000007e-05
2,2.0728,5.4000000000000005e-05
3,1.4551,7.4e-05
4,1.3723,9.4e-05
5,1.1605,0.00011399999999999999
6,1.0011,0.000134
7,0.9284,0.000154
8,0.9949,0.000174
9,0.9471,0.000194
10,1.0481,0.00019999648815268017
11,0.6787,0.00019997928786164127
12,0.805,0.0001999477565561069
13,0.6181,0.00019990189875576916
14,0.57,0.0001998417210338776
15,0.9174,0.0001997672320162968
16,0.8457,0.00019967844238027015
17,0.8289,0.00019957536485288931
18,0.8583,0.00019945801420926995
19,0.7393,0.00019932640727043382
20,0.6551,0.0001991805629008976
21,0.5512,0.00019902050200596897
22,0.6189,0.00019884624752875
23,0.6681,0.0001986578244468485
24,0.7561,0.00019845525976879767
25,0.5948,0.00019823858253018476
26,0.5995,0.00019800782378948917
27,0.7301,0.00019776301662363037
28,0.5343,0.0001975041961232268
29,0.9426,0.000197231399387566
30,0.4981,0.00019694466551928666
31,0.5334,0.00019664403561877377
32,0.9953,0.00019632955277826722
33,0.7415,0.0001960012620756852
34,0.6223,0.0001956592105681623
35,0.4678,0.0001953034472853048
36,0.5234,0.00019493402322216246
37,0.6341,0.00019455099133191907
38,0.6041,0.00019415440651830208
39,0.5983,0.0001937443256277127
40,0.546,0.00019332080744107768
41,0.4464,0.00019288391266542333
42,0.5554,0.00019243370392517425
43,0.542,0.0001919702457531763
44,0.4686,0.00019149360458144683
45,0.641,0.00019100384873165213
46,0.7128,0.00019050104840531427
47,0.5019,0.0001899852756737484
48,0.4679,0.00018945660446773206
49,0.6896,0.00018891511056690804
50,0.5261,0.00018836087158892204
51,0.6887,0.00018779396697829698
52,0.5143,0.00018721447799504545
53,0.4798,0.00018662248770302199
54,0.4299,0.00018601808095801653
55,0.4715,0.00018540134439559147
56,0.4254,0.00018477236641866306
57,0.4564,0.0001841312371848299
58,0.5076,0.0001834780485934498
59,0.4397,0.00018281289427246679
60,0.4391,0.00018213586956499061
61,0.5016,0.00018144707151563025
62,0.4105,0.00018074659885658357
63,0.5873,0.00018003455199348502
64,0.3259,0.00017931103299101352
65,0.5948,0.00017857614555826263
66,0.3153,0.0001778299950338747
67,0.4173,0.0001770726883709418
68,0.5561,0.00017630433412167503
69,0.3646,0.0001755250424218448
70,0.4412,0.00017473492497499366
71,0.3971,0.00017393409503642512
72,0.59,0.00017312266739696937
73,0.5015,0.00017230075836652928
74,0.573,0.00017146848575740861
75,0.4922,0.00017062596886742478
76,0.5286,0.00016977332846280864
77,0.4928,0.000168910686760894
78,0.4581,0.000168038167412599
79,0.3774,0.00016715589548470185
80,0.3961,0.00016626399744191402
81,0.4069,0.00016536260112875263
82,0.4698,0.00016445183575121533
83,0.3479,0.0001635318318582598
84,0.3849,0.00016260272132309113
85,0.4453,0.0001616646373242589
86,0.4058,0.00016071771432656751
87,0.3819,0.00015976208806180194
88,0.4542,0.00015879789550927211
89,0.4283,0.0001578252748761781
90,0.3096,0.00015684436557779975
91,0.3897,0.00015585530821751276
92,0.3555,0.00015485824456663462
93,0.3515,0.0001538533175441033
94,0.3765,0.00015284067119599105
95,0.3948,0.00015182045067485705
96,0.4059,0.00015079280221894109
97,0.3662,0.00014975787313120192
98,0.3999,0.00014871581175820295
99,0.2699,0.00014766676746884801
100,0.2841,0.00014661089063297114
101,0.464,0.0001455483325997824
102,0.3531,0.00014447924567617348
103,0.3086,0.00014340378310488626
104,0.3328,0.00014232209904254693
105,0.3661,0.00014123434853756904
106,0.353,0.00014014068750792906
107,0.3322,0.00013904127271881716
108,0.3538,0.0001379362617601663
109,0.3008,0.0001368258130240636
110,0.2923,0.00013571008568204616
111,0.331,0.00013458923966228574
112,0.3508,0.00013346343562666433
113,0.2882,0.00013233283494774515
114,0.5031,0.00013119759968564158
115,0.3002,0.00013005789256478724
116,0.3309,0.00012891387695061133
117,0.302,0.00012776571682612174
118,0.4667,0.00012661357676839975
119,0.275,0.00012545762192500964
120,0.3263,0.0001242980179903264
121,0.3478,0.00012313493118178522
122,0.3351,0.00012196852821605582
123,0.2539,0.00012079897628514531
124,0.3576,0.00011962644303243296
125,0.4165,0.00011845109652864026
126,0.3995,0.00011727310524773956
127,0.3352,0.0001160926380428052
128,0.2952,0.00011490986412180995
129,0.2881,0.00011372495302337107
130,0.3082,0.00011253807459244828
131,0.2612,0.00011134939895599848
132,0.3454,0.00011015909649858976
133,0.3444,0.00010896733783797839
134,0.3333,0.00010777429380065263
135,0.2738,0.0001065801353973463
136,0.3037,0.00010538503379852645
137,0.356,0.00010418916030985743
138,0.3602,0.00010299268634764624
139,0.2436,0.0001017957834142717
140,0.3359,0.00010059862307360118
141,0.2521,9.940137692639883e-05
142,0.4328,9.820421658572831e-05
143,0.3278,9.700731365235377e-05
144,0.2493,9.58108396901426e-05
145,0.3786,9.461496620147359e-05
146,0.2955,9.34198646026537e-05
147,0.341,9.222570619934739e-05
148,0.3605,9.103266216202162e-05
149,0.3507,8.984090350141026e-05
150,0.3229,8.865060104400153e-05
151,0.2512,8.746192540755174e-05
152,0.2549,8.627504697662896e-05
153,0.2032,8.509013587819006e-05
154,0.4493,8.390736195719487e-05
155,0.3037,8.272689475226045e-05
156,0.2868,8.154890347135978e-05
157,0.3112,8.037355696756706e-05
158,0.3694,7.920102371485474e-05
159,0.2835,7.803147178394419e-05
160,0.2928,7.686506881821478e-05
161,0.3133,7.570198200967362e-05
162,0.3377,7.45423780749904e-05
163,0.279,7.338642323160028e-05
164,0.241,7.223428317387828e-05
165,0.2685,7.108612304938869e-05
166,0.2462,6.994210743521277e-05
167,0.3201,6.880240031435843e-05
168,0.2771,6.766716505225484e-05
169,0.369,6.65365643733357e-05
170,0.2962,6.54107603377143e-05
171,0.2661,6.428991431795383e-05
172,0.2723,6.317418697593644e-05
173,0.271,6.20637382398337e-05
174,0.2814,6.095872728118287e-05
175,0.28,5.9859312492070954e-05
176,0.2889,5.8765651462431e-05
177,0.3113,5.767790095745308e-05
178,0.244,5.659621689511374e-05
179,0.3158,5.5520754323826564e-05
180,0.3016,5.4451667400217676e-05
181,0.2465,5.33891093670289e-05
182,0.2605,5.233323253115199e-05
183,0.2098,5.1284188241797074e-05
184,0.2465,5.02421268687981e-05
185,0.2411,4.920719778105896e-05
186,0.2978,4.8179549325143005e-05
187,0.2799,4.715932880400895e-05
188,0.2367,4.6146682455896714e-05
189,0.2411,4.5141755433365406e-05
190,0.2404,4.414469178248729e-05
191,0.2387,4.3155634422200256e-05
192,0.2022,4.21747251238219e-05
193,0.2961,4.12021044907279e-05
194,0.2093,4.0237911938198066e-05
195,0.257,3.9282285673432515e-05
196,0.203,3.833536267574108e-05
197,0.2148,3.739727867690886e-05
198,0.2684,3.646816814174021e-05
199,0.1875,3.554816424878471e-05
200,0.2478,3.463739887124736e-05
201,0.2716,3.3736002558085976e-05
202,0.2382,3.2844104515298155e-05
203,0.2055,3.196183258740102e-05
204,0.2406,3.108931323910601e-05
205,0.2855,3.0226671537191386e-05
206,0.245,2.9374031132575254e-05
207,0.2373,2.8531514242591406e-05
